timestamp,open,high,low,close,volume
2024-09-24 16:30:00,2612.81000,2614.88000,2611.45000,2614.66000,98
2024-09-24 16:25:00,2614.07000,2614.46000,2610.95000,2612.80000,260
2024-09-24 16:20:00,2618.89000,2618.91000,2612.25000,2614.06000,784
2024-09-24 16:15:00,2614.88000,2618.97000,2611.12000,2618.97000,181
2024-09-24 16:10:00,2611.49000,2615.52000,2610.95000,2615.52000,114
2024-09-24 16:05:00,2617.08000,2618.28000,2611.04000,2611.85000,140
2024-09-24 16:00:00,2612.30000,2617.30000,2612.30000,2616.59000,165
2024-09-24 15:55:00,2616.71000,2618.65000,2611.50000,2612.32000,281
2024-09-24 15:50:00,2614.23000,2618.84000,2611.91000,2616.77000,419
2024-09-24 15:45:00,2609.88000,2614.69000,2609.13000,2614.23000,367
2024-09-24 15:40:00,2611.23000,2612.13000,2607.02000,2609.92000,494
2024-09-24 15:35:00,2610.41000,2612.75000,2605.07000,2611.23000,838
2024-09-24 15:30:00,2608.91000,2614.11000,2608.91000,2610.40000,265
2024-09-24 15:25:00,2611.47000,2614.60000,2608.52000,2608.91000,320
2024-09-24 15:20:00,2614.16000,2616.69000,2610.28000,2611.36000,496
2024-09-24 15:15:00,2611.67000,2616.32000,2611.27000,2614.16000,635
2024-09-24 15:10:00,2615.87000,2617.97000,2611.12000,2611.33000,336
2024-09-24 15:05:00,2611.44000,2617.51000,2608.89000,2616.31000,296
2024-09-24 15:00:00,2612.91000,2614.54000,2607.98000,2611.48000,333
2024-09-24 14:55:00,2613.82000,2615.82000,2610.27000,2612.91000,225
2024-09-24 14:50:00,2609.27000,2615.36000,2606.37000,2613.82000,509
2024-09-24 14:45:00,2604.41000,2611.88000,2602.79000,2609.28000,2207
2024-09-24 14:40:00,2602.61000,2605.51000,2595.49000,2604.16000,735
2024-09-24 14:35:00,2597.57000,2605.11000,2592.79000,2602.94000,672
2024-09-24 14:30:00,2595.51000,2605.62000,2595.30000,2597.58000,1026
2024-09-24 14:25:00,2607.54000,2609.22000,2591.67000,2595.53000,1339
2024-09-24 14:20:00,2610.80000,2615.08000,2600.75000,2607.18000,1323
2024-09-24 14:15:00,2615.48000,2619.36000,2609.72000,2610.96000,1170
2024-09-24 14:10:00,2623.29000,2631.55000,2614.69000,2615.48000,1893
2024-09-24 14:05:00,2616.94000,2629.04000,2610.47000,2622.91000,2480
