timestamp,open,high,low,close,volume
2024-09-24,57008.88000000,57058.52000000,56893.89000000,56895.33000000,2.80938682
2024-09-23,56974.20000000,57970.81000000,56080.15000000,57003.00000000,223.65682354
2024-09-22,56772.76000000,57321.60000000,55883.34000000,56988.75000000,146.19246921
2024-09-21,56605.64000000,56937.10000000,56211.31000000,56753.13000000,53.43438343
2024-09-20,56396.66000000,57414.44000000,55813.70000000,56634.75000000,198.00698897
2024-09-19,55571.01000000,57241.75000000,55438.04000000,56385.95000000,329.06309665
2024-09-18,54261.74000000,55604.62000000,53223.45000000,55562.82000000,337.00000766
2024-09-17,52290.93000000,55193.91000000,51790.06000000,54226.05000000,364.06498608
2024-09-16,53320.98000000,53409.25000000,51650.17000000,52276.88000000,227.43877981
2024-09-15,54168.55000000,54488.83000000,52959.70000000,53343.95000000,156.99599343
2024-09-14,54674.74000000,54756.51000000,53700.00000000,54164.78000000,96.08980267
2024-09-13,52489.57000000,54781.85000000,52007.60000000,54673.01000000,250.20037654
2024-09-12,52130.02000000,53116.26000000,51955.86000000,52494.18000000,260.61066202
2024-09-11,52319.39000000,52657.81000000,50490.85000000,52074.02000000,281.19770213
2024-09-10,51723.22000000,52649.00000000,51105.34000000,52311.79000000,212.94548070
2024-09-09,49526.79000000,52624.00000000,49315.32000000,51718.32000000,448.96083805
2024-09-08,48922.03000000,49905.18000000,48417.29000000,49505.02000000,188.58514830
2024-09-07,48768.11000000,49585.80000000,48548.32000000,48900.38000000,218.48358020
2024-09-06,50560.77000000,51382.12000000,47428.66000000,48768.11000000,631.99766844
2024-09-05,52320.31000000,52652.63000000,50084.23000000,50556.80000000,241.17270351
2024-09-04,52036.77000000,52835.55000000,50354.20000000,52323.86000000,397.29997213
2024-09-03,53444.24000000,54065.45000000,51964.87000000,52033.15000000,287.13574297
2024-09-02,51911.95000000,53700.00000000,51709.51000000,53430.92000000,233.61573622
2024-09-01,53385.08000000,53476.90000000,51802.75000000,51931.36000000,203.81632762
2024-08-31,53553.35000000,53855.82000000,53200.00000000,53405.31000000,60.22093735
2024-08-30,53585.98000000,54096.18000000,52280.00000000,53546.16000000,231.76194306
2024-08-29,53109.73000000,55248.92000000,52921.58000000,53604.00000000,286.41399895
2024-08-28,53225.11000000,54189.93000000,52100.00000000,53088.39000000,326.99133822
2024-08-27,56289.73000000,56613.32000000,51950.00000000,53225.98000000,464.08729339
2024-08-26,57406.50000000,57632.29000000,56256.75000000,56298.34000000,303.87103799
